kind	symbol	present	intro	note	detail
method	Control._get_maximum_size	-----Y	4.7	added-4.7	const Vector2 ()
method	Control._get_minimum_size	YYYYYY	4.2	sig-drift+virtual-drift	const Vector2 ()
method	Control._get_tooltip	YYYYYY	4.2	sig-drift+virtual-drift	const String (at_position: Vector2)
method	Control._get_tooltip_auto_translate_mode_at	-----Y	4.7	added-4.7	const enum::Node.AutoTranslateMode (at_position: Vector2)
method	Control._gui_input	YYYYYY	4.2	sig-drift+virtual-drift	void (event: InputEvent)
method	Control._has_point	YYYYYY	4.2	sig-drift+virtual-drift	const bool (point: Vector2)
method	Control._make_custom_tooltip	YYYYYY	4.2	sig-drift+virtual-drift	const Object (for_text: String)
method	Control._structured_text_parser	YYYYYY	4.2	sig-drift+virtual-drift	const typedarray::Vector3i (args: Array, text: String)
property	Control.accessibility_controls_nodes	---YYY	4.5	added-4.5	typedarray::NodePath
property	Control.accessibility_described_by_nodes	---YYY	4.5	added-4.5	typedarray::NodePath
property	Control.accessibility_description	---YYY	4.5	added-4.5	String
method	Control.accessibility_drag	---YYY	4.5	added-4.5	void ()
method	Control.accessibility_drop	---YYY	4.5	added-4.5	void ()
property	Control.accessibility_flow_to_nodes	---YYY	4.5	added-4.5	typedarray::NodePath
property	Control.accessibility_labeled_by_nodes	---YYY	4.5	added-4.5	typedarray::NodePath
property	Control.accessibility_live	---YYY	4.5	added-4.5	int
property	Control.accessibility_name	---YYY	4.5	added-4.5	String
property	Control.custom_maximum_size	-----Y	4.7	added-4.7	Vector2
property	Control.focus_behavior_recursive	---YYY	4.5	added-4.5	int
method	Control.get_accessibility_controls_nodes	---YYY	4.5	added-4.5	const typedarray::NodePath ()
method	Control.get_accessibility_described_by_nodes	---YYY	4.5	added-4.5	const typedarray::NodePath ()
method	Control.get_accessibility_description	---YYY	4.5	added-4.5	const String ()
method	Control.get_accessibility_flow_to_nodes	---YYY	4.5	added-4.5	const typedarray::NodePath ()
method	Control.get_accessibility_labeled_by_nodes	---YYY	4.5	added-4.5	const typedarray::NodePath ()
method	Control.get_accessibility_live	---YYY	4.5	added-4.5+sig-drift+preserved	const enum::AccessibilityServer.AccessibilityLiveMode ()
method	Control.get_accessibility_name	---YYY	4.5	added-4.5	const String ()
method	Control.get_bound_minimum_size	-----Y	4.7	added-4.7	const Vector2 ()
